team,barthag,adj_o,adj_d,adj_t
Jacksonville State,0.4011,105.1,109.0,
Louisiana Tech,0.3983,102.0,105.9,
Long Island University,0.3988,105.2,109.2,
James Madison,0.4,109.2,113.3,
Samford,0.3972,108.7,112.9,
Quinnipiac,0.3913,104.9,109.2,
Portland,0.3897,105.7,110.1,
Green Bay,0.3929,111.5,116.0,
Drexel,0.3815,102.4,107.0,
UT Martin,0.376,99.7,104.4,
Cal Poly,0.386,109.1,113.8,
Southern Miss,0.37,104.9,110.1,
Southeast Missouri State,0.3667,104.1,109.4,
Tarleton State,0.3669,104.2,109.5,
Ohio,0.371,109.8,115.2,
Vermont,0.3679,107.1,112.5,
Detroit Mercy,0.3687,107.8,113.2,
Charleston Southern,0.3665,105.9,111.3,
San Diego,0.3688,107.9,113.3,
Western Carolina,0.3683,109.4,114.9,
Elon,0.3696,110.6,116.1,
Lamar,0.3562,103.1,108.8,
Colgate,0.3599,107.9,113.7,
UNC Asheville,0.3549,105.7,111.6,
San José State,0.358,111.9,118.0,
Georgia Southern,0.3555,109.8,115.9,
Eastern Michigan,0.3435,102.2,108.4,
La Salle,0.3441,104.3,110.6,
Nicholls,0.3433,105.4,111.8,
Stony Brook,0.3417,104.2,110.6,
Denver,0.3537,115.4,121.9,
Rice,0.3411,107.0,113.6,
Wofford,0.3371,108.8,115.7,
Florida Gulf Coast,0.3312,106.1,113.1,
Long Beach State,0.3292,104.7,111.7,
Iona,0.3254,103.6,110.7,
Princeton,0.3253,105.0,112.2,
American University,0.3236,105.3,112.6,
Fairfield,0.3202,105.9,113.4,
Radford,0.3231,106.4,113.8,
Old Dominion,0.3192,105.2,112.7,
Idaho State,0.3241,110.0,117.6,
Saint Peter's,0.3146,103.6,111.2,
Coastal Carolina,0.3071,101.6,109.4,
Abilene Christian,0.3028,100.3,108.2,
SIU Edwardsville,0.3009,99.2,107.1,
Texas State,0.3024,102.6,110.7,
Omaha,0.3058,106.0,114.2,
Milwaukee,0.3077,107.2,115.4,
East Carolina,0.295,103.1,111.6,
Purdue Fort Wayne,0.2986,105.3,113.8,
Lindenwood,0.286,100.3,109.0,
Boston University,0.3081,111.4,119.9,
Presbyterian,0.291,103.2,111.9,
Longwood,0.2872,103.3,112.2,
Incarnate Word,0.2963,108.8,117.7,
Dartmouth,0.2893,105.7,114.7,
UTEP,0.2816,101.3,110.3,
Sacramento State,0.2861,105.0,114.1,
Bethune-Cookman,0.2787,103.0,112.3,
Southern Utah,0.2785,105.1,114.6,
Pepperdine,0.2766,105.1,114.7,
Hampton,0.2652,102.0,111.9,
UC Riverside,0.2641,102.4,112.4,
North Carolina A&T,0.2675,105.3,115.4,
Western Michigan,0.2685,106.9,117.1,
Loyola Chicago,0.2638,104.3,114.5,
Central Michigan,0.2639,105.4,115.7,
Northeastern,0.268,107.7,118.0,
North Dakota,0.2621,105.4,115.8,
Mercyhurst,0.2512,100.6,111.1,
Bellarmine,0.2736,115.3,126.0,
Mount St. Mary's,0.2397,98.5,109.4,
Northwestern State,0.2476,102.5,113.4,
Morehead State,0.2561,106.1,116.9,
SE Louisiana,0.2393,99.2,110.2,
Southern,0.2462,104.6,115.8,
Brown,0.2277,97.1,108.5,
Houston Christian,0.2391,102.7,114.1,
South Dakota,0.2454,105.1,116.4,
Eastern Kentucky,0.2515,108.4,119.7,
South Carolina Upstate,0.2303,99.2,110.7,
Le Moyne,0.2363,102.2,113.7,
East Texas A&M,0.2275,100.4,112.2,
Chattanooga,0.2368,106.0,117.9,
Lehigh,0.2272,101.1,113.0,
Ball State,0.2202,97.7,109.6,
Delaware,0.2333,104.2,116.1,
Jacksonville,0.2288,103.6,115.7,
Grambling,0.2082,96.8,109.3,
Central Connecticut,0.2241,104.6,117.1,
Sacred Heart,0.2254,106.1,118.7,
West Georgia,0.2123,101.1,113.9,
Georgia State,0.2081,99.1,111.9,
Evansville,0.2127,101.3,114.1,
Wagner,0.2139,102.7,115.6,
UNC Greensboro,0.2221,106.9,119.8,
Oral Roberts,0.2095,101.3,114.3,
Prairie View A&M,0.1975,100.8,114.5,
Tennessee Tech,0.1993,102.4,116.2,
Little Rock,0.1921,101.8,116.0,
IU Indianapolis,0.1944,105.1,119.6,
Northern Arizona,0.1869,103.5,118.3,
Louisiana,0.174,98.6,113.6,
Stetson,0.1837,103.3,118.3,
Norfolk State,0.1788,101.6,116.7,
Alabama A&M,0.1795,101.9,117.0,
UAlbany,0.1734,102.9,118.6,
Lafayette,0.1686,100.6,116.3,
UMass Lowell,0.1723,102.4,118.1,
Arkansas-Pine Bluff,0.1697,102.4,118.3,
Cleveland State,0.1811,108.8,124.8,
Florida A&M,0.1533,95.2,111.2,
Eastern Illinois,0.1555,96.2,112.2,
Alabama State,0.162,99.3,115.3,
Loyola Maryland,0.1673,102.5,118.6,
Cal State Bakersfield,0.16,100.8,117.2,
Texas Southern,0.1583,101.2,117.8,
New Haven,0.1444,95.1,111.8,
Holy Cross,0.15,100.1,117.2,
Stonehill,0.133,93.1,110.4,
Manhattan,0.1511,103.6,121.2,
North Florida,0.1546,106.6,124.4,
Bucknell,0.1326,97.2,115.3,
Fairleigh Dickinson,0.1382,100.0,118.1,
Northern Illinois,0.1309,96.9,115.1,
Southern Indiana,0.1257,94.9,113.2,
NJIT,0.1229,95.6,114.3,
UTSA,0.1238,99.1,118.4,
Army,0.1229,100.2,119.8,
Chicago State,0.119,99.2,119.0,
Maine,0.1003,91.5,111.7,
North Alabama,0.1137,98.9,119.2,
Niagara,0.1101,98.0,118.5,
New Hampshire,0.101,94.6,115.4,
Canisius,0.0989,94.4,115.4,
North Carolina Central,0.1087,100.1,121.2,
Maryland Eastern Shore,0.0921,93.0,114.5,
Air Force,0.0917,94.5,116.4,
The Citadel,0.0993,99.1,121.1,
UL Monroe,0.0986,100.5,122.9,
Jackson State,0.0909,97.5,120.2,
Bryant,0.0867,95.5,118.3,
St. Francis (PA),0.0902,98.8,121.9,
Morgan State,0.0829,98.3,122.3,
Alcorn State,0.0742,95.4,120.0,
Kansas City,0.067,92.8,117.9,
Rider,0.0697,95.6,121.0,
VMI,0.0685,97.5,123.6,
South Carolina State,0.0642,95.0,121.2,
Gardner-Webb,0.0627,95.4,122.0,
Binghamton,0.0643,96.9,123.6,
Delaware State,0.0435,86.6,114.7,
Coppin State,0.0431,91.5,121.3,
Western Illinois,0.0445,93.6,123.7,
Mississippi Valley State,0.0235,88.8,124.6,
